bq,Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,others1,others2
3,0.14,-10810.3,-13033.4,-15389.6,-13761.2,12187.1,13676.1,11760.2,-12800.4,-79637.5,15334.7,-375,11183.7,9367.2,10866.5,13583.7,,
3,0.1433,-15894.3,-14174.7,-19280.2,-17200.8,12737.6,14105.1,10441.9,-13437.1,-73749.5,16504.6,-587.4,12412.3,9436.4,10497.1,13718.5,,
3,0.1467,-15011,-9856,-16541,-14208.6,8486.9,9390.7,5264.5,-9033.4,-35812.1,11689,-2503.5,8659.4,5410.5,5971.8,8914.4,,
3,0.15,-9429.1,-4057.5,-10139.5,-7799.5,3334.3,3875.3,750.7,-3637.5,1606.3,5375.1,-4901.5,3372.6,787,1272.6,3583.7,,
3,0.1533,-4186.2,-1921.1,-5841.1,-3699,1852.2,2457.3,820.2,-2037.2,5988.3,3163.2,-5806.6,1243.9,-391.2,512.4,2462.8,,
3,0.1567,-3863,-5244.9,-7321.8,-5440.3,5261.3,6283.3,5285.6,-5551.6,-25924.3,6882.9,-4352.6,4092.4,2864.1,4275.2,6436.4,,
3,0.16,-8566.9,-10849.2,-12984.9,-11240.7,10316,11708.7,9972.6,-10830,-64438.3,12959.6,-1783.4,9199.9,7511.3,9029.4,11731.4,,
3,0.1633,-13844.9,-13478,-17473.3,-15635.6,12275.1,13643.4,10529.1,-12920.8,-73706.3,15693.4,-473.4,11780,9208.3,10330.1,13382.8,,
0,0.1667,-14771.9,-10683.7,-16619.3,-14523.3,9319.1,10295.3,6476.9,-9882.8,-45115.8,12552.8,-1728.1,9424.3,6347.8,6957.2,9864.3,,
0,0.17,-10528,-5143.3,-11306.1,-8996.2,4279.9,4870.5,1678.9,-4628.2,-5780.4,6555.5,-4438.7,4386.7,1618.8,2102.2,4541.1,,
0,0.1733,-5172.4,-2142.1,-6605.7,-4316.8,1974.2,2545.9,690.2,-2178,6801.8,3419.8,-6013.5,1473.4,-482.9,383.5,2490.5,,
0,0.1767,-3804.1,-4535.3,-6953.6,-4923.9,4604.7,5524.3,4407,-4868.3,-19474.4,6113.6,-4845.9,3464.4,2068.6,3445.5,5650.6,,
0,0.18,-7697.6,-9988.7,-11920.3,-10185.6,9623.2,10900.4,9195.8,-10085.4,-59365.1,11995.7,-1977,8426.1,6842.1,8344.3,10939.8,,
4,0.1833,-13067.4,-13204,-16641.5,-14992.2,12162,13444.4,10397,-12762.4,-74248.3,15345.5,-239.3,11546.4,9229,10339.3,13212.2,,
0,0.1867,-14703.4,-11042.3,-16526.1,-14679.3,9743.6,10669.4,6856.2,-10283.3,-49452.4,12897.7,-1557.9,9784.2,6876.8,7467.5,10245.6,,
0,0.19,-11012,-5593.5,-11708.6,-9551.5,4708.3,5268.8,2066.3,-5046.4,-8776.9,7028.6,-4979.6,4843,2002.4,2475.9,4922.1,,
0,0.1933,-5576.8,-2163.3,-6913.1,-4599.2,1956.8,2509.4,759.5,-2149.5,8376.2,3458.2,-7435,1536,-712,186.7,2435.5,,
0,0.1967,-3678.6,-4093.9,-6831.1,-4637.8,4167,5081.9,4249.8,-4411.6,-14612.6,5662.3,-6632.5,3091.8,1344.2,2808.1,5210.2,,
0,0.2,-7137.2,-9473.1,-11517,-9594,9155.3,10445.2,9106.6,-9595,-55160.7,11452.9,-3323.7,7977.1,6148.2,7759.6,10506.2,,
4,0.2033,-12521.8,-12991,-16327.8,-14569,12000.6,13304.3,10509.8,-12583.2,-73428.2,15110.1,-672.6,11379.4,8994.7,10176.4,13094,,
4,0.2067,-14515.2,-11158.7,-16494.1,-14649.6,9879.5,10820.7,7016.3,-10412.3,-51401.3,13008.4,-1237.6,9931.9,7094.1,7674.3,10402.9,,
4,0.21,-11149.6,-5760.3,-11834.7,-9753.2,4858.1,5424.7,2024.6,-5203.9,-10687.5,7203.1,-4465.6,5040.2,2314.4,2700.6,5071.5,,
4,0.2133,-5753.2,-2107.2,-6951.9,-4717.3,1865.2,2428.9,448.9,-2083.2,8733.9,3414.8,-7196.2,1508.5,-650.9,132.4,2354.5,,
0,0.2167,-3662.8,-3790.1,-6687.1,-4518.7,3824.7,4774.9,3859.2,-4112.8,-11996.8,5375,-6749,2795.6,1090.3,2466.5,4925.4,,
0,0.22,-6934.8,-9115.6,-11316.6,-9338.5,8757.2,10111.3,8902.3,-9252.3,-51942,11120.8,-3580.5,7588,5770.1,7349.1,10217.6,,
0,0.2233,-12297.8,-12774.4,-16258.6,-14371.4,11736.5,13117.6,10599.4,-12374,-71134.7,14931.1,-851.5,11096,8713.3,9905.6,12960,,
0,0.2267,-14395.4,-11110.1,-16605.1,-14591.8,9779.1,10787.3,7273.7,-10355,-50315.4,13002.5,-1278.5,9808.7,6982,7580.4,10409.8,,
0,0.23,-11116.8,-5760.3,-11994.4,-9755.5,4812.9,5423.4,2217.8,-5188.9,-10135.3,7235.2,-4385.1,4988.9,2304.1,2684.6,5086.1,,
0,0.2333,-5709.5,-2035.8,-6980.5,-4655.7,1763.6,2352.3,429.1,-2009,9399.4,3350.4,-6945.3,1421.6,-641.1,103.8,2270.1,,
