bq,Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,others1,others2
3,0.5267,-12993.8,-10113.7,-14439,-13061.7,8847,9623,6647.7,-9247.6,-48061.1,11660.3,-95,8937.5,6221,6853.5,9273.2,,
3,0.53,-9843.2,-4790.3,-10100.8,-8373.8,3864.5,4263.4,1432.8,-4061.7,-8784.6,5991.5,-1946.1,4086.8,2021,2175.5,3974.5,,
0,0.5333,-4305,-844.3,-4918.4,-3108.4,676.2,1001.4,-933.3,-719.7,11185.1,1877.6,-3551.6,349.1,-28.6,39.7,976.7,,
0,0.5367,-1889.1,-2207.2,-4052.6,-2500.6,2458.8,3087.7,1904.4,-2553.1,-8098.6,3411.7,-3309,1453.5,2111.6,2580,3269.6,,
0,0.54,-4982.9,-7506.3,-8347.5,-7132,7421.2,8428.4,7101.6,-7721,-47368.3,9043.7,-1453.1,6292.6,6297.4,7252.1,8555.3,,
0,0.5433,-10470.3,-11435,-13489.4,-12350.7,10593.3,11674.7,9461.8,-11048.3,-67382,13129.9,183.5,10025.3,8338,9376.1,11541.9,,
0,0.5467,-12846.6,-10054.1,-14319.1,-12919.1,8792.4,9568.1,6627.9,-9196.7,-48129.7,11572.1,-0.9,8912.7,6180.9,6818.9,9232,,
0,0.55,-9716.2,-4728,-9985.2,-8245.6,3806,4198.8,1433.2,-4002.2,-8841.3,5911.4,-1784,4056.5,1968.5,2133.1,3921.1,,
0,0.5533,-4183.8,-763.3,-4793.8,-2975.6,607.6,919.7,-933,-641.9,11221.1,1788,-3351.9,301.3,-98,7.4,905.7,,
0,0.5567,-1753.1,-2107.3,-3907.5,-2350.5,2386.5,2996.9,1890.7,-2460.8,-7997.8,3305.3,-3119.7,1393.7,2044.4,2574.5,3190.1,,
0,0.56,-4830.4,-7404.9,-8190.1,-6972.9,7359,8345.1,7083.6,-7629.3,-47294.7,8930.3,-1313,6236.9,6253,7271.1,8482.1,,
0,0.5633,-10322.5,-11351.5,-13346,-12204.8,10547.8,11608.9,9464.9,-10969.6,-67378.5,13025.9,265.5,9982.7,8313.7,9393.4,11481.4,,
0,0.5667,-12726,-9990.9,-14211.9,-12801.8,8754.8,9513.5,6667.2,-9129.2,-48131.8,11484,44.6,8874,6152,6802.4,9176.5,,
0,0.57,-9622.8,-4668.5,-9909.7,-8151.7,3759.7,4139.7,1493.6,-3933.3,-8742.9,5830.6,-1741,4002.2,1915.2,2074.4,3857.5,,
2,0.5733,-4092.9,-687.9,-4717.3,-2885.7,544.3,846.1,-891.3,-562.4,11438.7,1701.5,-3288.2,220.7,-162,-63.2,829.6,,
0,0.5767,-1637.9,-2013.3,-3792,-2250,2315.4,2914.4,1877.6,-2377.1,-7779.9,3210.4,-3035.6,1296.8,2010.6,2543.2,3111,,
0,0.58,-4686.4,-7308.8,-8020.7,-6863.5,7298.4,8268.8,7011.9,-7558.1,-47233.2,8837.1,-1230.6,6146.8,6277.4,7306.9,8414.9,,
0,0.5833,-10169.9,-11271.7,-13142.1,-12098.2,10506,11546.9,9368.9,-10920.5,-67498.3,12944.8,315,9915.3,8370.2,9466.3,11431.5,,
0,0.5867,-12588.1,-9927.7,-14011.8,-12702.9,8718.7,9457.6,6597.8,-9090.8,-48254.5,11411,36.6,8824.1,6162.9,6831.3,9134.2,,
0,0.59,-9502.4,-4602,-9743.7,-8050.1,3703.8,4070.8,1487,-3878.3,-8607.8,5747.8,-1810.6,3949.6,1805.6,1978.8,3806.2,,
0,0.5933,-3971.7,-596.8,-4590.3,-2765.3,452.7,751.7,-833.6,-470,11951,1594.1,-3397.2,149.7,-399.1,-302.3,761.2,,
0,0.5967,-1498,-1896.6,-3686.9,-2107.5,2197.7,2801.4,1970.5,-2251.7,-7040.5,3084,-3143.4,1211.8,1725.2,2224.3,3033.8,,
3,0.6,-4533.3,-7189.6,-7916.3,-6715.9,7183.4,8158.5,7101,-7428.4,-46587.9,8716.8,-1299.6,6068.3,6056.6,7016.3,8345.7,,
0,0.6033,-10031.8,-11176.9,-13028.6,-11969.8,10418.4,11457.8,9426.4,-10817,-67183.8,12854.6,294,9860.3,8274.9,9283.9,11379.7,,
0,0.6067,-12490.9,-9864.2,-13893.4,-12603.2,8659.4,9390.1,6618.1,-9022.1,-48226.5,11351.5,33.2,8790.4,6151.2,6756.6,9092.2,,
0,0.61,-9443.5,-4549.7,-9630.7,-7963.7,3649.9,4008.5,1483.2,-3825.7,-8576,5693.3,-1850.5,3917.4,1761.3,1937.4,3755.3,,
0,0.6133,-3917.7,-526.7,-4489.7,-2664.2,378.4,677.1,-839.2,-404.6,12282.8,1513.1,-3512.4,99.3,-578.9,-400.3,687.8,,
0,0.6167,-1410.4,-1796.1,-3600.4,-1975.1,2095.5,2710.3,1982.8,-2158.2,-6348.2,2965.6,-3320.8,1139.9,1401.1,2030.8,2940.1,,
0,0.62,-4397.8,-7072.2,-7841.3,-6561.6,7068.9,8061.9,7138.3,-7315,-45753.8,8579.6,-1469.2,5988.2,5686.2,6766.2,8246.7,,
3,0.6233,-9867.1,-11069.1,-12959.3,-11820.7,10316.1,11369.8,9477.4,-10706.6,-66528.4,12729.8,222.4,9787.6,8001.5,9067.3,11290.4,,
0,0.6267,-12329.9,-9782.2,-13819.8,-12482,8584,9315,6655.3,-8934,-47935.5,11257,113.9,8729.4,6075.6,6659,9017.6,,
0,0.63,-9307.3,-4489.1,-9540.2,-7872.8,3600,3939.7,1474.4,-3765.3,-8602,5621.8,-1636.9,3860.6,1888.2,1994.1,3692.4,,
0,0.6333,-3805,-472.4,-4374.6,-2588.5,344.6,606.5,-913.9,-366.6,12123.5,1442.9,-3247.8,40.2,-330.7,-214.2,635.2,,
0,0.6367,-1309.7,-1739.8,-3465.7,-1899.6,2072,2638.5,1845.7,-2136.1,-6498.3,2882.1,-3096.4,1083,1658.6,2280.5,2902.5,,
0,0.64,-4306,-7019.5,-7704.5,-6483.4,7055.4,7997.4,6964.8,-7304.3,-45884.8,8486.5,-1326.5,5945.9,5867.6,7002.7,8227.8,,
0,0.6433,-9793.3,-11028.9,-12838.1,-11746.7,10309.3,11317.8,9302.1,-10699.3,-66704.9,12640.7,314.3,9765.8,8077.7,9226.1,11280.2,,
0,0.6467,-12281.6,-9751.1,-13716.8,-12415.6,8570.3,9269,6505,-8913.8,-48174,11178.3,228.5,8716.1,6069,6702.6,8988.9,,
0,0.65,-9273.5,-4449,-9437.4,-7806.2,3560.7,3883.9,1361.1,-3712.7,-8816.2,5545,-1443,3831.8,1849.3,1919.6,3614.2,,
4,0.6533,-3756.5,-404.8,-4245.9,-2509.5,271.3,529.2,-991.5,-273.1,12056.8,1354,-2982.4,-21.8,-351.9,-374.8,494.8,,
0,0.6567,-1219,-1644.1,-3297,-1804.1,1976.6,2543.3,1795.4,-2013.9,-6367.8,2778,-2832.8,992.1,1680,2088.1,2719.9,,
0,0.66,-4169.3,-6915,-7506.7,-6380.7,6963.9,7900.1,6928,-7180.9,-45620,8379.6,-1157.9,5849.7,5919,6830.1,8047,,
0,0.6633,-9634.5,-10938.6,-12639.7,-11650.6,10241.2,11233.3,9259.7,-10598.5,-66413.1,12547.8,336.4,9688.6,8115.4,9098.8,11143.6,,
0,0.6667,-12133.9,-9681.5,-13543.3,-12330.1,8522.6,9198.2,6437.3,-8839.8,-47903.1,11103.6,128.8,8663.7,6048.9,6614.5,8912.7,,
0,0.67,-9154.6,-4385.2,-9295.5,-7721.3,3511,3815.1,1261.1,-3650.4,-8523.5,5476,-1579.4,3789.4,1763.4,1851.3,3583.1,,
0,0.6733,-3658.8,-325.7,-4125.3,-2412.5,197.9,451,-1103.8,-203.7,12438.7,1273.7,-3066,-74.2,-461.4,-431.5,476.9,,
0,0.6767,-1120.8,-1543.2,-3187.8,-1695.7,1878.3,2456.2,1716.9,-1931.7,-5892.4,2681.5,-2828,922.5,1611,2053.7,2688.3,,
0,0.68,-4055.1,-6805.9,-7413.8,-6278,6859.6,7816.4,6933,-7095.8,-45121.3,8278.6,-1102.7,5772.8,5920.2,6829.5,7992.3,,
0,0.6833,-9505.5,-10841.1,-12580.7,-11572.1,10151.4,11163.9,9368.1,-10522.7,-65954.3,12457.7,363.5,9618.5,8143.5,9117.6,11070.2,,
4,0.6867,-12002.3,-9602.3,-13531.5,-12276.3,8449.6,9140.5,6620,-8773.4,-47453.8,11027.7,69.3,8603.3,6005.1,6607.4,8829.5,,
0,0.69,-9030,-4312.9,-9324.3,-7670.3,3436.8,3754,1452.1,-3580,-7962.6,5401.5,-1720.4,3726,1564.8,1770.8,3498,,
0,0.6933,-3542.4,-245,-4169.1,-2336.4,102.4,372.8,-969.2,-116.3,13217.9,1186.2,-3227.1,-156.7,-811.7,-595.3,398.9,,
4,0.6967,-1010.2,-1452.3,-3218.3,-1584.2,1759.5,2362,1769.9,-1828.6,-4912.3,2580.7,-2942.7,817.5,1207.4,1850.1,2629,,
0,0.7,-3953.4,-6719.9,-7417.1,-6148,6736.3,7720.7,6928.2,-6992.7,-44089.5,8180.4,-1151.7,5659,5592.2,6654.9,7959.3,,
0,0.7033,-9422.4,-10775.6,-12560.1,-11453.1,10046.1,11080.8,9354.4,-10436,-65044.4,12378.2,341.2,9515.9,7960.8,9014.7,11056.9,,
0,0.7067,-11944.4,-9554.4,-13495.2,-12185.3,8367,9069.7,6632.3,-8704.7,-46734.8,10964.7,16.7,8521.6,5935.1,6561.6,8811.2,,
0,0.71,-8991.7,-4258.9,-9272.5,-7599.1,3358.6,3680.7,1488.2,-3514.8,-7363.2,5334.1,-1824.4,3658.6,1509.5,1724.9,3443.4,,
0,0.7133,-3506.7,-158.5,-4093.1,-2262.3,3.8,281.9,-941.6,-37.3,13831.1,1092.6,-3348.6,-225.5,-933.5,-692.5,291.6,,
3,0.7167,-960.2,-1326.9,-3113.1,-1493.4,1631,2252.4,1756.1,-1731.3,-4202.9,2460.4,-3027.3,736.4,1012.8,1695.4,2481.1,,
0,0.72,-3883.7,-6575,-7292.6,-6048.5,6592.4,7607.2,6866.9,-6888.5,-43296.7,8057.1,-1182.3,5566.2,5383,6479.4,7805.7,,
0,0.7233,-9340,-10640.6,-12437.7,-11366.2,9912.9,10980.4,9270.9,-10340.6,-64229.6,12280.7,317.6,9418.8,7799.7,8860.4,10931.7,,
0,0.7267,-11860.2,-9446.2,-13391.5,-12123.5,8261.5,8986.7,6565.2,-8624.5,-45938.1,10902.4,-77.1,8426.3,5840.3,6440.2,8725,,
3,0.73,-8910.8,-4172.9,-9184.3,-7553.6,3279.8,3604,1462.5,-3444.1,-6588.4,5289,-2026.3,3566.2,1456.3,1616,3379.3,,
0,0.7333,-3428.2,-80.4,-4000.2,-2210.6,-61,196.8,-928.8,32.4,14572.1,1036,-3613.1,-314.5,-972,-811.4,221.8,,
2,0.7367,-884.5,-1249.9,-2996.9,-1420,1570.5,2155.6,1781,-1661.5,-3547.8,2377.6,-3250.6,654.5,990.2,1569.1,2389.7,,
0,0.74,-3817.7,-6505.6,-7155.4,-5958.4,6535.8,7509,6872.2,-6825.5,-42781.6,7957.9,-1282.7,5497.1,5391.2,6370.4,7698.3,,
0,0.7433,-9293.4,-10587.7,-12305.2,-11278,9861.8,10893.9,9239.1,-10289.1,-63829.2,12186.7,330.1,9363,7827.5,8786.2,10826.3,,
0,0.7467,-11836,-9406.3,-13295.1,-12050.6,8210.5,8914.3,6500.6,-8578.5,-45520.2,10825,-52.3,8375.1,5832.7,6387.4,8635.6,,
0,0.75,-8901,-4129.1,-9138,-7491.7,3216.4,3535.3,1384.8,-3390.3,-5998.9,5219.7,-2103.9,3508,1349.3,1549.6,3307,,
0,0.7533,-3419.7,-17.2,-3991.2,-2144,-144.5,119.5,-1000.8,102,15366.5,957.5,-3829.9,-383.2,-1191.1,-913.3,159.9,,
1,0.7567,-870.9,-1169.6,-2996.2,-1338.6,1474.7,2067.7,1718.3,-1583.1,-2698.7,2283.1,-3532,586,724.2,1448.5,2334,,
0,0.76,-3803.9,-6427.9,-7138.2,-5867.5,6447,7421.1,6805.8,-6755,-42112.2,7858.4,-1496.4,5445,5181.9,6273.8,7649.9,,
0,0.7633,-9287.1,-10531.8,-12263.9,-11192,9795.5,10818.2,9151.6,-10237.8,-63462.1,12099,275.5,9334.1,7736.6,8741.5,10785.4,,
0,0.7667,-11833.9,-9372.2,-13237,-11977.1,8164.6,8852.5,6388.2,-8540.5,-45346.9,10753.1,37.1,8357.9,5829.4,6376.5,8593.3,,
0,0.77,-8884.9,-4097.8,-9073.4,-7423.3,3174.7,3477.9,1265.2,-3348,-5762.8,5149.7,-1974.8,3481,1335.9,1520.1,3248.4,,
0,0.7733,-3368.8,30.7,-3923.8,-2066.4,-194.2,56.6,-1100.3,159.9,15838,871.7,-3772.1,-431.6,-1296.1,-1002,76.2,,
1,0.7767,-781.5,-1105.7,-2922.4,-1247.3,1423.4,2000,1649.1,-1517.8,-2084.1,2179.1,-3580.3,527.4,533.4,1311.3,2232.8,,
0,0.78,-3697.8,-6369.1,-7052,-5774.6,6415.2,7358.9,6738.4,-6704.2,-41668,7753.1,-1587.5,5402.6,4995,6145.1,7552.2,,
0,0.7833,-9199.2,-10499,-12160.7,-11116,9796.3,10768.8,9025.3,-10216.3,-63470.3,12012.6,254.2,9326,7654.4,8677.3,10708.8,,
0,0.7867,-11787,-9363.3,-13113.3,-11925.5,8183.8,8808.8,6148.4,-8538.6,-45803.3,10688.1,168.1,8375,5882.5,6383.2,8537.1,,
0,0.79,-8871.8,-4085,-8927.1,-7385.3,3174.4,3421,911.3,-3334.6,-6342.2,5086.4,-1694.3,3490.3,1461.7,1547.3,3193.4,,
0,0.7933,-3356.9,79.4,-3758.6,-2024.1,-248.7,-28.8,-1495.9,214.9,15555.8,786.3,-3427.6,-462.7,-1203.3,-1020.7,1.3,,
2,0.7967,-736.1,-1011.4,-2753.1,-1193.3,1310.7,1889.8,1326.3,-1415.2,-1862.4,2067,-3290.1,448.5,522.5,1216.8,2133.4,,
0,0.8,-3605.4,-6250.1,-6902,-5719.2,6275.4,7245.4,6576,-6576.2,-41087.7,7634.6,-1437.2,5299.4,4889.5,6002.7,7443.9,,
0,0.8033,-9073.6,-10388.8,-12047.3,-11074.8,9672.2,10675,9025,-10095.3,-62891.5,11914.7,256.2,9232.8,7527.5,8547.6,10613.3,,
0,0.8067,-11655.7,-9281.9,-13031.3,-11900.1,8098.9,8741.1,6221.7,-8444.2,-45508.9,10619.5,93.2,8310.1,5816.9,6314.1,8464.1,,
0,0.81,-8756.7,-4026.6,-8845.7,-7357,3119.8,3365.4,937.3,-3263.8,-6332.1,5029.9,-1737.2,3444.1,1501,1546.1,3134.8,,
0,0.8133,-3264,134.5,-3640.1,-1968.5,-300.2,-92.4,-1587.9,277.5,15530,716,-3358.9,-515.9,-1070,-981.2,-57.9,,
0,0.8167,-658.3,-947.4,-2582.6,-1102.5,1243,1809.3,1141.2,-1350,-1647.8,1973.9,-3113.8,370.6,698.5,1262.7,2067.3,,
2,0.82,-3532.2,-6181.9,-6704.6,-5610.4,6192.9,7156.5,6396.7,-6509.2,-40536.1,7535.1,-1246.2,5200.4,5040.3,6032.2,7377.3,,
0,0.8233,-8998.1,-10328.3,-11876,-10975.9,9588,10592.4,8951.7,-10031.1,-62116.3,11833.8,336.5,9131.2,7589.2,8547.7,10554.3,,
0,0.8267,-11574.8,-9230.3,-12931.7,-11825.5,8017.9,8670.2,6289.1,-8378.9,-44692.1,10564.5,-9.8,8220.1,5748,6270.7,8407.9,,
0,0.83,-8669.6,-3968.7,-8824.8,-7295.4,3029.8,3297.4,1101.2,-3182.7,-5559.2,4980.8,-1987.9,3363.6,1299.7,1443.7,3062,,
0,0.8333,-3172.5,217.4,-3662.9,-1894.4,-416.6,-170.9,-1408.8,388.4,16312.3,642.4,-3636.7,-600.2,-1358.2,-1144.7,-167.4,,
0,0.8367,-569.7,-836.1,-2599.4,-1000.4,1097.6,1716.4,1275.9,-1210.8,-761.4,1862.5,-3303.6,274,400.9,1062.4,1918.8,,
0,0.84,-3457.7,-6060.2,-6685.5,-5488.7,6038.6,7059.2,6478,-6363,-39533.2,7402.7,-1328.3,5098.1,4804.8,5838.7,7210.6,,
1,0.8433,-8945.8,-10221.6,-11825.9,-10859.3,9454.4,10505.4,9005.6,-9906.1,-61094,11712,272.2,9038.9,7442,8397,10401.8,,
0,0.8467,-11541.5,-9150.4,-12875.8,-11733.1,7921.1,8599.3,6340.6,-8291.6,-43767.5,10472.7,-176.3,8146.7,5658.6,6165.9,8294,,
0,0.85,-8638.5,-3905.9,-8781.1,-7226.3,2961.1,3235.5,1153.3,-3127.4,-4755.1,4912,-2297.6,3300.8,1209.3,1354.5,2992.7,,
0,0.8533,-3121.3,284,-3627.5,-1832.3,-481.3,-234.9,-1366.1,433.4,17097.5,573.5,-4007.7,-672.2,-1489.9,-1255,-199.6,,
0,0.8567,-483.2,-752.6,-2555.2,-931,1018.9,1647.3,1310.3,-1154.3,156,1778.3,-3596.2,178.3,233.4,918.5,1913.3,,
0,0.86,-3336.2,-5963.6,-6623,-5411.2,5946.7,6992.4,6526.5,-6285.6,-38390.8,7309,-1467.2,4981.6,4641.1,5682.6,7223,,
1,0.8633,-8801.9,-10124.6,-11753.7,-10780.9,9362.9,10449,9098.2,-9813.2,-59742.2,11626.4,226,8919.1,7318.4,8266.9,10419.8,,
0,0.8667,-11390.6,-9060.3,-12811.3,-11655.8,7840.3,8551.5,6489.8,-8195.8,-42296.7,10404.6,-280.4,8041.6,5581.7,6091.1,8297.1,,
0,0.87,-8490.8,-3818.6,-8731.4,-7141.8,2888.8,3184.2,1339.7,-3041.4,-3265,4852.4,-2570.3,3215.7,1162.3,1343.9,2958.4,,
0,0.8733,-2982.7,375.2,-3580.9,-1733.5,-554.4,-301.1,-1185.3,500.6,18535,506.1,-4420.4,-744.6,-1520.2,-1208,-280.2,,
0,0.8767,-361.7,-660,-2492.7,-827.5,941.6,1567.4,1439.4,-1109.9,1490.6,1698.1,-4001.7,108.2,224.6,1009,1801.8,,
0,0.88,-3246.2,-5882.7,-6539.5,-5331.2,5873,6911.5,6570.9,-6261.8,-37201.8,7228.2,-1723.1,4910.2,4660.1,5791.1,7112.5,,
0,0.8833,-8760.1,-10066.8,-11667.8,-10752.4,9301.9,10377.9,9041.7,-9799.4,-58723.8,11560.8,139.9,8850.2,7343.5,8347.2,10334.5,,
0,0.8867,-11406.2,-9022.1,-12753.4,-11681.7,7788.8,8485.9,6330.1,-8176.1,-41433.8,10353.5,-305.9,7978.7,5555.7,6082.4,8232.8,,
0,0.89,-8558.8,-3781.6,-8719.2,-7192.4,2828.1,3105.4,1090,-3001.9,-2500.2,4794.6,-2668.8,3155.4,1025.2,1199.9,2883.5,,
0,0.8933,-3085.7,429.2,-3604.4,-1764.6,-644.9,-409.6,-1492,562.5,19269.1,417.8,-4632.6,-810.8,-1781.9,-1482.1,-399.8,,
0,0.8967,-478.3,-586.7,-2521.4,-810.9,816,1431.2,1128,-1035.8,2235.4,1577.1,-4252.8,29.5,-106.5,671.7,1629.1,,
0,0.9,-3358.5,-5804.7,-6544.3,-5271.9,5728.4,6769.8,6311.3,-6189.1,-36436.9,7099.5,-1909,4819.6,4355,5486.5,6913.6,,
0,0.9033,-8855.1,-10001.2,-11638.9,-10679.3,9165,10256.7,8868.5,-9734.2,-57939.3,11457.2,48.2,8754.7,7143.4,8145.1,10154,,
0,0.9067,-11473.4,-8972.4,-12699.2,-11621.3,7678.9,8395.4,6236.5,-8113,-40627.8,10287.2,-368.7,7886.7,5484,5991.2,8104.1,,
0,0.91,-8589.8,-3736.6,-8651.5,-7150,2748.2,3034.5,1029.1,-2933.7,-1691.9,4747.3,-2781.4,3073.4,1055,1178.6,2812.2,,
3,0.9133,-3078.7,481.8,-3524.6,-1727.5,-702.9,-480.7,-1581.6,633,20011.3,358.5,-4794.3,-878.8,-1693.2,-1480.8,-430.7,,
3,0.9167,-443.3,-527.6,-2421.9,-767.3,772,1349.8,968.6,-977.4,2818.8,1490.1,-4378.6,-22.3,8.2,674.8,1617.4,,
3,0.92,-3315,-5752,-6420.7,-5224,5694.5,6684,6084.8,-6156.5,-36041.6,6997.5,-1923.1,4781.9,4467.5,5493.2,6907.9,,
3,0.9233,-8821.1,-9964.1,-11499.5,-10638.5,9136.5,10179,8620.2,-9723.2,-57622.1,11366.4,115.4,8721.7,7214.1,8151.2,10146.9,,
0,0.9267,-11452.9,-8943.2,-12561.8,-11593.1,7644.8,8329.5,6028.6,-8099.5,-40176.2,10220.6,-351.8,7844.3,5469.5,5971.9,8084.3,,
0,0.93,-8571.5,-3695.4,-8529.3,-7124.8,2696.2,2971,904,-2890.9,-954,4692.2,-2932.5,3013.3,944.8,1110.1,2763.1,,
0,0.9333,-3048.3,547.6,-3416.8,-1689.5,-774.3,-554.5,-1627.9,710.5,20960.3,289.4,-5098,-949.2,-1846.2,-1586,-520.5,,
0,0.9367,-400.3,-447.6,-2316.4,-710.8,696.9,1263.5,949.5,-890,3673.5,1395.7,-4682.7,-80.9,-92.3,587.7,1493.7,,
2,0.94,-3277.9,-5685.1,-6308.5,-5160.2,5638.9,6596.7,6022.4,-6095.5,-35606.1,6892.7,-2067.2,4756.2,4485.4,5477.3,6775.1,,
0,0.9433,-8813.6,-9930.5,-11385.9,-10583.5,9110.6,10104.5,8468,-9705,-57674.8,11278.8,153.5,8729.6,7319.8,8198.4,10032.4,,
0,0.9467,-11481,-8935.2,-12464.6,-11549.1,7634,8270.4,5795.3,-8103.1,-40431,10163.8,-275.4,7861.2,5541.1,5997.4,7999.8,,
0,0.95,-8611.4,-3681.3,-8466.2,-7074.1,2670.8,2916.3,650.9,-2871.5,-961.1,4651.4,-3005.5,3005.6,857.3,1007.2,2699.2,,
0,0.9533,-3058.8,596.2,-3392.7,-1609.9,-833.9,-617.9,-1825.8,785.4,21467.1,234.5,-5385.3,-997,-2116.2,-1858.1,-582,,
0,0.9567,-352.5,-364.2,-2321.4,-599.2,612.2,1190.3,845.8,-766.3,4560.6,1308.2,-5068.6,-153,-436.7,216.6,1425.3,,
0,0.96,-3178.6,-5596.2,-6324.6,-5041.7,5560.6,6526,5990.2,-5964.7,-34764.7,6782.7,-2357.7,4695,4228.9,5146.9,6705.8,,
2,0.9633,-8702.2,-9869.6,-11396.5,-10495,9066.3,10049.5,8441.8,-9611.9,-57250.9,11175,60.7,8704.8,7242.8,8018,9973.7,,
0,0.9667,-11402.1,-8912.4,-12458.4,-11510.2,7624,8230.5,5715.6,-8062.5,-40446.9,10088.2,-243.3,7867.7,5594.7,5970.2,7954.3,,
0,0.97,-8584.1,-3677.1,-8436.5,-7071.3,2668.5,2875.6,507.4,-2861.4,-1092.6,4602.2,-3022.1,3012.6,896.5,1039.6,2656.5,,
0,0.9733,-3067.7,611.3,-3337.6,-1607.5,-858.3,-676.3,-1989.7,802,21606.6,191.3,-5566.1,-1020.4,-2213.6,-1873.4,-634.4,,
0,0.9767,-364.1,-325.4,-2245.7,-567.7,556.5,1111.1,722.8,-720.8,5111,1253.4,-5374.3,-213.4,-675.7,115.7,1361.7,,
0,0.98,-3168.3,-5544.7,-6241.6,-4978,5489.3,6439.4,5940.4,-5894.7,-33986.7,6715.5,-2640,4616.7,3955.6,5008,6642.1,,
0,0.9833,-8667.7,-9824.6,-11321.7,-10418.8,9001.9,9972.4,8446.8,-9536,-56558.5,11107.8,-76.1,8634.1,7063.6,7918.7,9921.1,,
0,0.9867,-11355.7,-8879.1,-12398.5,-11442.5,7574.9,8167.6,5723.7,-7993.4,-40019.2,10029,-233.5,7814.9,5564.8,5948.2,7910.4,,
0,0.99,-8534.6,-3641.7,-8381.4,-7016,2624.9,2816.5,472.8,-2797.6,-875.2,4545,-2960.3,2968.9,973.7,1069.3,2604.7,,
0,0.9933,-3011.1,666.2,-3264.8,-1552.8,-909.6,-745.5,-2077.8,867.2,21779.2,123.1,-5538.8,-1068.8,-2115.2,-1845.1,-710.4,,
0,0.9967,-291.1,-249.6,-2136.3,-502,497.9,1029.1,604.1,-656.1,5325.7,1170.2,-5386.2,-268.7,-614.6,113.4,1261.5,,
0,1,-3079.1,-5466,-6095.6,-4902.7,5437,6355.7,5823.3,-5841.5,-33782.9,6629.3,-2639.6,4565.6,3975.7,4986,6535.7,,
0,1.0033,-8578.1,-9762.5,-11160.2,-10345.1,8966.1,9899.8,8348.6,-9502.1,-56449,11035.1,-39.4,8597.6,7066.7,7900.6,9829.6,,
0,1.0067,-11287.4,-8834.9,-12249,-11376.2,7547.3,8107.3,5641.6,-7970,-39973.2,9973.5,-208.3,7788.8,5562.1,5933.6,7840,,
0,1.01,-8499.2,-3595.8,-8259.8,-6949.4,2582,2756.3,396.9,-2762.5,-736.1,4491.5,-3020.3,2935.9,955.1,1030.5,2543.1,,
0,1.0133,-3002.1,735.1,-3167.6,-1471.5,-985.2,-818.6,-2148.9,930.8,22152.1,51.9,-5698.8,-1122.8,-2157.5,-1931.2,-781.3,,
0,1.0167,-291.7,-156.6,-2049.9,-401,396.6,943.4,548.8,-569.2,5904.1,1077.8,-5574.1,-339.4,-664,-7.2,1175.2,,
0,1.02,-3076,-5370.7,-6011.4,-4794.2,5338.6,6271.9,5796.6,-5756.5,-33198.2,6535.1,-2763.5,4498.9,3948.7,4874.8,6445,,
0,1.0233,-8569.7,-9690.6,-11082.1,-10248.6,8896.8,9833.4,8352,-9442.2,-56060.9,10965.2,-86.5,8554.2,7069.2,7834.2,9751.2,,
0,1.0267,-11278.7,-8792.6,-12187.1,-11300,7506.9,8059.3,5661.8,-7934.9,-39803.5,9935.9,-270.9,7768.3,5558.5,5902.2,7780.5,,
0,1.03,-8490.8,-3564,-8218.1,-6881.2,2542.5,2711.5,414.7,-2726.8,-593.6,4466.3,-3213.5,2917,888.3,983.3,2493.6,,
0,1.0333,-2985.6,782.8,-3138.9,-1389,-1056.7,-878.5,-2144,997.4,22516.5,7,-6045.4,-1165.1,-2316.9,-2043.4,-835.1,,
0,1.0367,-254.4,-82.5,-2023.1,-292.9,283,863.3,545.5,-461.8,6593.7,995.8,-5971.2,-413.8,-886,-187.7,1111.3,,
0,1.04,-3011.2,-5283.8,-5982.2,-4672.2,5203.9,6183.5,5800.5,-5627.1,-32302.5,6427.9,-3069.7,4406,3737.2,4674.3,6378,,
0,1.0433,-8480.6,-9614.3,-11054.9,-10138,8775.8,9754.2,8375.7,-9323.2,-55194.3,10862.6,-249.8,8465.8,6932.5,7677,9691.8,,
4,1.0467,-11174.9,-8737.9,-12165.8,-11217.8,7421.3,7997.1,5704.4,-7848.9,-39134.2,9860.1,-373.3,7697.9,5509.6,5821.3,7730,,
0,1.05,-8382.3,-3521.4,-8195,-6822.6,2488.6,2659.7,461.5,-2673.5,-122.2,4414.6,-3388,2860.6,890.3,964.3,2441.6,,
0,1.0533,-2880.1,831.5,-3095.8,-1334.1,-1099.3,-932,-2113.7,1034.4,22907.1,-41.6,-6342.9,-1220.6,-2312.5,-2040.7,-900.2,,
0,1.0567,-160.8,-19.6,-1945.2,-227.3,235.1,802.8,543.3,-425,7011.5,932.7,-6309,-476.8,-901.7,-193.8,1032.6,,
1,1.06,-2940.7,-5215.3,-5873.7,-4600.6,5149,6121.2,5759.4,-5584.6,-31836.5,6351.4,-3312,4338.5,3710.4,4655.5,6298.5,,
0,1.0633,-8441.9,-9554.9,-10938.9,-10079.5,8721.9,9697.4,8298.4,-9277.3,-54717.5,10787.7,-343.4,8402.1,6910.7,7656.8,9625.9,,
0,1.0667,-11165.3,-8691.8,-12067.4,-11186.8,7373.2,7944.9,5599.3,-7801.4,-38664,9797.9,-406.3,7641.7,5492.2,5804.6,7681,,
