bq,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1,0.76653,1.2973,1.7958,0.19802,0.38933,1.7813,0.49548,1.9012,0.39472,4.0045,2.8547,1.7141,0.75492,1.0713,0.55654,0.69757,0.58851,0.79787,3.6252,1.3751,1.0956,1.2624,1.6721,0.95497,0.9945,1.4546,1.1063,1.339,1.057,1.1729,1.0553,1.4267,1.3002,1.0224,1.3799,1.2111,0.87019,1.2871,0.52561,1.15,0.83649,0.68649,0.82604,0.91978,1.2804,1.5055,0.97899,0.88595,0.71421,0.73882,0.66012,1.116,0.62597,0.68781,0.84681,1.057,0.37329,0.30545,0.3474,0.26906,0.24801,0.81155,0.232,0.068256
1,1.0821,2.7271,0.65044,0.18148,0.36943,1.9913,1.5932,3.9235,0.33964,1.7176,1.1782,0.61904,0.5976,0.99273,0.42043,0.80325,0.71471,0.84747,3.0157,1.2878,1.021,1.4153,1.6408,0.99566,0.8969,1.4323,1.2309,1.1415,1.0186,0.94718,0.94097,1.2388,1.2147,1.3025,1.3335,1.4445,0.82927,1.3337,0.55051,1.1457,0.88583,0.88514,0.85123,0.92302,1.0857,1.3378,0.9892,0.8409,0.57234,0.67468,0.54421,0.77982,0.46532,0.37004,0.66311,0.58271,0.46327,0.6174,0.61871,0.32656,0.35174,0.44428,0.18081,0.058589
1,1.6185,4.3175,0.35699,0.16431,1.3391,3.4434,7.3624,2.84,0.2929,1.8866,0.9235,0.59424,0.5321,0.98011,0.37439,0.67758,0.61555,1.1033,2.6985,1.4933,0.98721,1.3135,1.6607,1.0453,1.0402,1.1767,1.1694,1.3361,0.90481,1.0196,1.0222,0.9568,1.1975,1.147,1.3057,1.2802,0.86481,1.2911,0.68018,1.0579,0.88171,0.74888,0.76023,0.82405,0.97761,1.4363,0.91555,0.88639,0.69827,0.7367,0.65318,0.61702,0.84319,0.6051,1.6836,0.34881,0.40002,0.5215,0.33707,0.24864,0.74538,0.28441,0.46885,0.1161
1,2.7624,6.4632,1.0133,0.2103,2.0765,5.0844,13.142,4.5492,0.36049,1.2928,1.3727,0.90495,1.0711,1.0124,0.76004,0.6635,0.52949,1.0434,1.1557,1.2267,1.1351,1.0468,1.2064,0.77069,0.70095,1.1238,1.0551,1.3987,1.0282,1.0996,1.0135,1.2384,1.1356,1.2999,1.132,1.4563,0.93682,1.2083,0.55767,1.2759,0.81642,0.8803,0.58678,0.84734,1.1531,1.335,1.0464,0.83053,0.78411,0.85374,0.81483,0.72075,0.59091,1.8343,0.57484,0.44375,0.53411,0.47639,0.22016,0.19376,0.49786,0.30437,0.38897,0.20175
1,2.4622,4.9562,2.1876,0.20451,3.1039,4.4813,10.828,3.0349,0.62493,0.68637,0.60195,0.86033,1.3192,0.73139,0.709,0.719,0.52113,0.77577,1.3019,1.2381,0.96198,1.0786,1.4066,0.78126,0.88656,1.1204,1.0853,1.2686,1.0615,1.0467,0.81973,1.3858,1.077,1.0625,1.3443,1.2937,0.76892,1.2324,0.46415,1.1616,0.83753,0.84246,0.70494,1.0009,1.165,1.181,0.98606,0.92875,0.80823,0.66341,0.74555,0.73513,1.0308,1.5212,0.61112,0.40213,0.42434,0.63439,0.29152,0.21545,0.65134,0.3137,0.4597,0.25638
1,3.1805,3.8328,1.0265,0.16828,2.0575,2.9885,9.26,0.97724,1.4884,0.69246,0.70337,0.75513,1.0968,0.86525,0.62045,0.71697,0.8746,0.84462,1.0538,1.4321,1.1803,1.1916,1.6343,0.86658,0.80336,1.1384,1.0947,1.1013,0.99489,1.0718,0.88221,1.3454,1.1437,1.0721,1.2849,1.4207,0.91033,1.2099,0.45114,1.2641,1.0868,0.80162,0.69189,0.75937,1.1644,1.2014,0.99451,1.0011,0.87337,0.63867,0.63401,0.56555,1.576,1.6731,1.6088,0.46443,0.35864,0.49466,0.64417,0.22374,0.35474,0.27861,0.29018,0.084258
1,3.3074,3.0477,0.4826,0.25488,1.0224,1.9568,6.4215,0.58053,2.0416,0.44085,0.55114,0.78822,0.69186,0.85549,0.68465,0.47487,0.509,1.0043,1.0432,1.3133,1.257,1.2279,1.5971,0.89098,0.7791,1.1502,1.1234,1.313,0.93059,1.1597,0.86133,1.1422,1.3236,1.1322,1.3289,1.5993,0.88555,1.2799,0.48829,0.99528,0.90538,0.87216,0.82013,0.8611,1.0328,1.5397,1.0105,0.95451,0.77154,0.76814,0.73885,0.58928,2.3717,3.1668,3.7759,0.41084,0.52935,0.61315,0.62114,0.33152,0.25734,0.36847,0.094547,0.066832
1,2.2696,1.0549,0.3406,0.4097,0.4714,1.3363,4.0646,0.48859,1.4041,0.34488,1.2152,0.6252,0.8669,1.2007,0.6435,0.66051,0.71785,0.77163,0.88502,1.2572,0.90707,0.98201,1.461,0.79796,0.92634,1.1299,1.0765,1.168,0.99599,0.93719,0.94585,1.1678,1.3384,1.0546,1.3727,1.249,0.82917,1.3372,0.50605,1.0998,0.93606,0.75403,0.69007,0.7219,0.95037,1.374,1.0813,0.88105,0.71051,0.69424,0.68386,0.5337,2.2334,0.94711,2.2158,0.52481,0.37962,0.34532,0.41457,0.30726,0.31557,0.47327,0.15587,0.16616
1,1.3215,0.54325,0.24425,0.9454,0.38894,0.38207,1.1503,0.96688,1.1487,1.1487,1.725,0.73281,4.0587,1.5083,0.73506,0.72185,0.71422,0.83999,0.86348,1.3305,1.0028,0.96805,1.6134,0.72003,1.0028,1.1295,1.2107,1.3199,0.9421,1.11,0.84214,1.1129,1.1562,1.0066,1.4642,1.5575,0.92521,1.2001,0.43187,1.2023,0.86512,0.7857,0.76187,0.98851,1.0331,1.4225,0.97809,0.91973,0.74506,0.7253,0.67673,0.59917,1.7541,0.89325,1.7166,0.3531,0.30994,1.3426,0.37853,0.23099,0.20297,2.4171,0.091394,0.11798
1,0.96658,0.3666,0.40191,0.5333,0.41413,0.24442,0.61461,1.0641,0.39177,1.8094,2.294,0.43112,3.699,1.2874,1.0848,1.0604,0.55588,0.80547,1.0359,1.5425,0.96343,1.2282,1.4139,0.89046,0.8848,1.1332,1.2394,1.4394,1.072,0.98413,0.84267,1.2589,1.2266,1.0749,1.4284,1.3641,0.82569,1.2948,0.52641,1.179,0.74595,0.80496,0.72712,0.88163,1.0774,1.4116,0.93343,0.94725,0.74093,0.65198,0.57947,0.84496,0.80532,0.70511,2.207,0.4018,0.35056,1.0155,0.41233,0.18672,0.13315,1.0596,0.1045,0.081925
